Distance_(microns),Gray_Value
0.0000,31.000
0.6067,30.134
1.2133,32.914
1.8200,30.981
2.4266,48.486
3.0333,127.609
3.6399,51.302
4.2466,33.570
4.8532,37.709
5.4599,69.803
6.0665,112.694
6.6732,61.801
7.2799,45.604
7.8865,113.806
8.4932,95.852
9.0998,170.250
9.7065,382.268
10.3131,475.366
10.9198,732.192
11.5264,1242.547
12.1331,1074.415
12.7397,839.808
13.3464,405.241
13.9531,174.297
14.5597,151.189
15.1664,73.250
15.7730,49.222
16.3797,35.567
16.9863,91.245
17.5930,45.026
18.1996,37.861
18.8063,41.498
19.4129,88.767
20.0196,52.476
20.6262,46.656
21.2329,34.643
21.8396,33.107
22.4462,53.702
23.0529,181.905
23.6595,293.000
24.2662,316.655
24.8728,336.284
25.4795,279.784
26.0861,137.998
26.6928,137.989
27.2994,100.112
27.9061,85.165
28.5128,184.284
29.1194,186.343
29.7261,147.111
30.3327,97.607
30.9394,182.608
31.5460,295.222
32.1527,277.707
32.7593,306.109
33.3660,406.395
33.9726,482.526
34.5793,559.802
35.1860,427.758
35.7926,488.565
36.3993,659.089
37.0059,921.171
37.6126,1102.150
38.2192,808.621
38.8259,420.816
39.4325,206.472
40.0392,114.947
40.6458,83.429
41.2525,68.233
41.8592,49.725
42.4658,35.679
43.0725,31.736
43.6791,30.290
44.2858,55.171
44.8924,103.072
45.4991,77.614
46.1057,38.204
46.7124,54.573
47.3190,48.000
