Distance_(microns),Gray_Value
0.0000,31.000
0.6067,31.077
1.2133,40.308
1.8200,31.231
2.4266,31.385
3.0333,52.846
3.6399,37.154
4.2466,30.000
4.8532,91.538
5.4599,163.846
6.0665,35.462
6.6732,30.154
7.2799,82.692
7.8865,31.000
8.4932,49.385
9.0998,51.808
9.7065,68.538
10.3131,162.846
10.9198,433.385
11.5264,858.308
12.1331,1414.923
12.7397,1146.962
13.3464,559.385
13.9531,225.923
14.5597,56.077
15.1664,30.385
15.7730,31.000
16.3797,69.846
16.9863,31.385
17.5930,33.731
18.1996,33.385
18.8063,30.808
19.4129,41.538
20.0196,104.231
20.6262,37.923
21.2329,82.962
21.8396,102.923
22.4462,121.692
23.0529,81.538
23.6595,113.500
24.2662,156.077
24.8728,373.423
25.4795,333.615
26.0861,297.692
26.6928,292.923
27.2994,208.423
27.9061,357.538
28.5128,581.038
29.1194,81.308
29.7261,135.808
30.3327,226.769
30.9394,136.923
31.5460,142.000
32.1527,619.385
32.7593,341.308
33.3660,223.077
33.9726,522.000
34.5793,379.846
35.1860,200.000
35.7926,197.654
36.3993,224.538
37.0059,738.192
37.6126,860.923
38.2192,918.462
38.8259,692.615
39.4325,501.500
40.0392,123.846
40.6458,38.538
41.2525,132.462
41.8592,29.346
42.4658,30.385
43.0725,38.269
43.6791,92.769
44.2858,108.346
44.8924,30.000
45.4991,169.077
46.1057,31.769
46.7124,32.154
47.3190,32.000
