Distance_(microns),Gray_Value
0.0000,39.500
0.6067,42.400
1.2133,65.219
1.8200,44.547
2.4266,51.884
3.0333,61.224
3.6399,71.625
4.2466,61.247
4.8532,60.971
5.4599,46.800
6.0665,65.753
6.6732,54.556
7.2799,60.210
7.8865,70.980
8.4932,107.275
9.0998,262.293
9.7065,512.496
10.3131,657.086
10.9198,892.074
11.5264,1141.117
12.1331,1120.196
12.7397,686.795
13.3464,358.703
13.9531,122.372
14.5597,94.094
15.1664,94.222
15.7730,88.042
16.3797,46.059
16.9863,49.676
17.5930,72.730
18.1996,68.584
18.8063,55.866
19.4129,45.948
20.0196,54.753
20.6262,51.514
21.2329,82.419
21.8396,130.839
22.4462,154.595
23.0529,184.018
23.6595,342.228
24.2662,399.385
24.8728,299.956
25.4795,277.837
26.0861,245.941
26.6928,211.709
27.2994,162.518
27.9061,199.673
28.5128,190.944
29.1194,194.866
29.7261,202.359
30.3327,279.351
30.9394,298.340
31.5460,387.881
32.1527,419.928
32.7593,455.102
33.3660,487.650
33.9726,310.916
34.5793,272.808
35.1860,356.470
35.7926,538.797
36.3993,783.899
37.0059,903.199
37.6126,781.712
38.2192,517.718
38.8259,252.398
39.4325,91.010
40.0392,65.811
40.6458,36.130
41.2525,30.939
41.8592,30.587
42.4658,32.264
43.0725,31.977
43.6791,31.884
44.2858,46.020
44.8924,45.603
45.4991,30.668
46.1057,34.209
46.7124,42.250
