Distance_(microns),Gray_Value
0.0000,31.000
0.6067,30.062
1.2133,30.805
1.8200,40.463
2.4266,88.809
3.0333,66.777
3.6399,38.662
4.2466,30.947
4.8532,30.474
5.4599,34.426
6.0665,31.025
6.6732,31.640
7.2799,31.027
7.8865,31.016
8.4932,31.250
9.0998,31.450
9.7065,29.982
10.3131,30.028
10.9198,45.155
11.5264,38.698
12.1331,38.810
12.7397,42.582
13.3464,30.880
13.9531,56.277
14.5597,83.508
15.1664,35.711
15.7730,133.540
16.3797,124.280
16.9863,175.006
17.5930,141.272
18.1996,122.612
18.8063,276.506
19.4129,288.159
20.0196,390.540
20.6262,227.768
21.2329,108.215
21.8396,36.609
22.4462,67.161
23.0529,91.412
23.6595,58.007
24.2662,63.884
24.8728,30.523
25.4795,30.295
26.0861,52.934
26.6928,60.320
27.2994,60.843
27.9061,67.226
28.5128,44.603
29.1194,81.606
29.7261,64.263
30.3327,73.215
30.9394,35.689
31.5460,31.243
32.1527,35.246
32.7593,59.018
33.3660,69.500
33.9726,68.060
34.5793,80.877
35.1860,33.041
35.7926,73.674
36.3993,44.331
37.0059,33.019
37.6126,52.102
38.2192,70.077
38.8259,40.628
39.4325,71.574
40.0392,58.920
40.6458,33.656
41.2525,60.299
41.8592,75.237
42.4658,88.901
43.0725,57.066
43.6791,169.431
44.2858,265.601
44.8924,271.196
45.4991,390.587
46.1057,410.084
46.7124,195.040
47.3190,155.163
47.9257,56.820
48.5324,38.008
49.1390,72.178
49.7457,78.431
50.3523,39.140
50.9590,34.900
51.5656,61.450
52.1723,39.561
52.7789,70.487
53.3856,41.080
53.9922,30.997
54.5989,53.198
55.2056,35.592
55.8122,47.760
56.4189,72.037
57.0255,37.341
57.6322,33.864
58.2388,37.797
58.8455,38.154
59.4521,33.182
60.0588,43.040
60.6654,31.636
61.2721,30.111
61.8787,31.478
62.4854,32.649
63.0921,35.776
63.6987,37.769
64.3054,47.924
64.9120,37.001
65.5187,30.764
66.1253,30.118
66.7320,31.000
