Distance_(microns),Gray_Value
0.0000,41.000
0.6067,37.516
1.2133,30.052
1.8200,30.715
2.4266,40.111
3.0333,51.558
3.6399,66.074
4.2466,31.293
4.8532,30.066
5.4599,30.146
6.0665,31.043
6.6732,30.528
7.2799,32.185
7.8865,34.979
8.4932,48.815
9.0998,31.944
9.7065,30.663
10.3131,30.343
10.9198,34.417
11.5264,35.117
12.1331,37.827
12.7397,30.917
13.3464,30.044
13.9531,45.880
14.5597,49.556
15.1664,96.572
15.7730,135.050
16.3797,129.438
16.9863,103.296
17.5930,57.799
18.1996,146.769
18.8063,204.190
19.4129,264.383
20.0196,249.755
20.6262,159.809
21.2329,110.704
21.8396,110.000
22.4462,63.969
23.0529,52.369
23.6595,40.708
24.2662,49.037
24.8728,37.641
25.4795,38.907
26.0861,56.240
26.6928,46.593
27.2994,45.167
27.9061,39.974
28.5128,47.739
29.1194,47.778
29.7261,45.738
30.3327,63.020
30.9394,38.863
31.5460,37.523
32.1527,32.344
32.7593,55.750
33.3660,38.196
33.9726,46.486
34.5793,33.176
35.1860,37.837
35.7926,41.162
36.3993,44.593
37.0059,33.031
37.6126,56.029
38.2192,71.438
38.8259,47.856
39.4325,58.117
40.0392,64.250
40.6458,52.083
41.2525,45.428
41.8592,61.030
42.4658,78.975
43.0725,99.426
43.6791,138.333
44.2858,220.181
44.8924,331.529
45.4991,413.007
46.1057,369.856
46.7124,225.365
47.3190,88.417
47.9257,70.151
48.5324,122.794
49.1390,75.812
49.7457,74.557
50.3523,60.821
50.9590,45.963
51.5656,41.716
52.1723,40.562
52.7789,41.301
53.3856,36.198
53.9922,61.328
54.5989,60.333
55.2056,33.151
55.8122,37.646
56.4189,45.032
57.0255,42.206
57.6322,36.662
58.2388,42.741
58.8455,39.158
59.4521,44.987
60.0588,31.792
60.6654,32.733
61.2721,32.784
61.8787,30.194
62.4854,35.691
63.0921,30.247
63.6987,36.100
64.3054,54.978
64.9120,36.937
65.5187,30.000
