Distance_(microns),Gray_Value
0.0000,30.000
0.6067,30.412
1.2133,30.223
1.8200,31.025
2.4266,31.973
3.0333,31.788
3.6399,31.230
4.2466,31.026
4.8532,30.733
5.4599,30.089
6.0665,41.118
6.6732,30.514
7.2799,30.431
7.8865,32.673
8.4932,30.220
9.0998,29.807
9.7065,29.670
10.3131,31.899
10.9198,63.570
11.5264,33.667
12.1331,32.863
12.7397,31.196
13.3464,30.368
13.9531,33.446
14.5597,35.871
15.1664,158.326
15.7730,95.267
16.3797,154.302
16.9863,145.170
17.5930,186.038
18.1996,310.209
18.8063,300.358
19.4129,332.713
20.0196,334.523
20.6262,157.651
21.2329,40.542
21.8396,123.142
22.4462,98.360
23.0529,36.860
23.6595,46.911
24.2662,61.704
24.8728,33.241
25.4795,107.797
26.0861,44.414
26.6928,82.012
27.2994,47.367
27.9061,36.727
28.5128,30.854
29.1194,44.502
29.7261,49.110
30.3327,88.094
30.9394,32.537
31.5460,30.330
32.1527,100.301
32.7593,74.687
33.3660,30.646
33.9726,63.317
34.5793,54.738
35.1860,30.995
35.7926,30.845
36.3993,30.177
37.0059,30.094
37.6126,30.550
38.2192,36.631
38.8259,29.075
39.4325,30.585
40.0392,46.912
40.6458,96.176
41.2525,32.150
41.8592,54.617
42.4658,75.490
43.0725,86.810
43.6791,127.648
44.2858,183.296
44.8924,319.211
45.4991,443.411
46.1057,440.611
46.7124,86.759
47.3190,92.058
47.9257,58.572
48.5324,45.304
49.1390,35.562
49.7457,31.147
50.3523,30.767
50.9590,30.007
51.5656,99.117
52.1723,51.147
52.7789,47.226
53.3856,30.418
53.9922,30.643
54.5989,29.642
55.2056,31.262
55.8122,31.236
56.4189,67.938
57.0255,30.920
57.6322,68.527
58.2388,33.943
58.8455,37.240
59.4521,29.092
60.0588,29.583
60.6654,30.196
61.2721,30.257
61.8787,30.725
62.4854,81.840
63.0921,43.058
63.6987,31.239
64.3054,37.468
64.9120,30.495
65.5187,30.895
66.1253,32.000
