Distance_(microns),Gray_Value
0.0000,30.000
0.6067,54.582
1.2133,33.471
1.8200,43.956
2.4266,33.672
3.0333,32.596
3.6399,30.176
4.2466,33.122
4.8532,34.654
5.4599,31.415
6.0665,30.907
6.6732,30.673
7.2799,30.655
7.8865,31.270
8.4932,31.208
9.0998,31.484
9.7065,34.161
10.3131,33.416
10.9198,39.086
11.5264,30.641
12.1331,43.820
12.7397,39.845
13.3464,33.682
13.9531,39.211
14.5597,43.692
15.1664,36.191
15.7730,93.912
16.3797,136.504
16.9863,96.938
17.5930,56.283
18.1996,135.146
18.8063,240.727
19.4129,280.916
20.0196,296.147
20.6262,245.405
21.2329,139.825
21.8396,106.917
22.4462,49.101
23.0529,58.337
23.6595,50.171
24.2662,38.682
24.8728,41.727
25.4795,43.730
26.0861,41.538
26.6928,44.728
27.2994,35.517
27.9061,34.922
28.5128,39.415
29.1194,71.114
29.7261,33.909
30.3327,51.169
30.9394,42.329
31.5460,32.615
32.1527,31.000
32.7593,41.598
33.3660,58.460
33.9726,34.805
34.5793,33.787
35.1860,67.722
35.7926,36.837
36.3993,37.333
37.0059,64.959
37.6126,49.255
38.2192,63.147
38.8259,31.738
39.4325,47.354
40.0392,64.257
40.6458,55.262
41.2525,65.116
41.8592,84.457
42.4658,80.274
43.0725,76.626
43.6791,159.495
44.2858,185.323
44.8924,284.525
45.4991,358.944
46.1057,355.533
46.7124,229.505
47.3190,126.056
47.9257,84.733
48.5324,65.106
49.1390,58.844
49.7457,43.896
50.3523,30.680
50.9590,43.473
51.5656,57.280
52.1723,42.965
52.7789,30.910
53.3856,31.111
53.9922,30.894
54.5989,30.755
55.2056,42.849
55.8122,50.471
56.4189,32.784
57.0255,36.941
57.6322,40.348
58.2388,32.425
58.8455,32.455
59.4521,32.860
60.0588,32.165
60.6654,50.948
61.2721,65.486
61.8787,50.522
62.4854,30.447
63.0921,31.634
63.6987,30.594
64.3054,31.000
