Distance_(microns),Gray_Value
0.0000,31.000
0.6067,30.006
1.2133,30.000
1.8200,30.982
2.4266,53.446
3.0333,40.422
3.6399,46.747
4.2466,73.819
4.8532,52.157
5.4599,99.235
6.0665,225.108
6.6732,345.982
7.2799,346.578
7.8865,221.572
8.4932,238.470
9.0998,370.169
9.7065,411.012
10.3131,212.042
10.9198,208.614
11.5264,198.602
12.1331,126.639
12.7397,103.024
13.3464,47.217
13.9531,54.506
14.5597,74.964
15.1664,38.078
15.7730,121.241
16.3797,71.012
16.9863,176.048
17.5930,295.735
18.1996,266.024
18.8063,385.934
19.4129,277.157
20.0196,285.663
20.6262,293.614
21.2329,271.693
21.8396,196.301
22.4462,97.735
23.0529,40.301
23.6595,58.307
24.2662,38.916
24.8728,48.825
25.4795,36.325
26.0861,30.000
26.6928,41.759
27.2994,34.337
27.9061,30.000
28.5128,30.000
29.1194,30.000
29.7261,30.705
30.3327,59.651
30.9394,43.596
31.5460,30.313
32.1527,38.169
32.7593,45.373
33.3660,51.012
33.9726,78.181
34.5793,126.458
35.1860,112.470
35.7926,122.072
36.3993,230.867
37.0059,356.108
37.6126,396.120
38.2192,344.120
38.8259,351.711
39.4325,349.229
40.0392,395.855
40.6458,445.753
41.2525,330.566
41.8592,216.030
42.4658,132.699
43.0725,114.325
43.6791,74.542
44.2858,29.560
44.8924,30.000
45.4991,47.542
46.1057,56.036
46.7124,51.000
47.3190,56.831
47.9257,72.482
48.5324,57.133
49.1390,36.048
49.7457,44.072
50.3523,40.500
