Distance_(microns),Gray_Value
0.0000,30.000
0.6067,35.000
1.2133,84.000
1.8200,31.000
2.4266,32.500
3.0333,31.000
3.6399,30.500
4.2466,41.500
4.8532,60.000
5.4599,77.000
6.0665,52.500
6.6732,52.000
7.2799,185.500
7.8865,138.000
8.4932,219.000
9.0998,345.000
9.7065,416.500
10.3131,455.500
10.9198,174.500
11.5264,331.500
12.1331,196.500
12.7397,247.500
13.3464,295.500
13.9531,108.000
14.5597,63.000
15.1664,65.000
15.7730,44.500
16.3797,54.500
16.9863,57.000
17.5930,62.500
18.1996,171.500
18.8063,189.000
19.4129,225.500
20.0196,244.500
20.6262,309.000
21.2329,222.000
21.8396,266.500
22.4462,392.000
23.0529,220.500
23.6595,197.000
24.2662,98.000
24.8728,39.500
25.4795,39.000
26.0861,44.000
26.6928,29.500
27.2994,30.500
27.9061,30.000
28.5128,52.500
29.1194,49.000
29.7261,30.500
30.3327,36.500
30.9394,33.000
31.5460,50.000
32.1527,33.500
32.7593,50.000
33.3660,31.000
33.9726,30.000
34.5793,82.500
35.1860,34.500
35.7926,103.000
36.3993,51.500
37.0059,99.500
37.6126,206.000
38.2192,363.500
38.8259,280.000
39.4325,468.500
40.0392,287.500
40.6458,241.500
41.2525,303.500
41.8592,380.000
42.4658,351.000
43.0725,284.500
43.6791,201.500
44.2858,52.500
44.8924,32.000
45.4991,41.500
46.1057,57.500
46.7124,31.000
47.3190,35.000
47.9257,48.500
48.5324,32.000
49.1390,37.000
49.7457,51.000
50.3523,30.500
50.9590,31.000
