Distance_(microns),Gray_Value
0.0000,32.500
0.6067,32.518
1.2133,30.512
1.8200,46.393
2.4266,48.286
3.0333,53.101
3.6399,56.179
4.2466,31.000
4.8532,31.905
5.4599,31.661
6.0665,30.440
6.6732,31.000
7.2799,57.571
7.8865,146.673
8.4932,232.083
9.0998,277.750
9.7065,327.095
10.3131,342.589
10.9198,348.786
11.5264,293.899
12.1331,189.000
12.7397,182.125
13.3464,161.595
13.9531,116.298
14.5597,148.643
15.1664,62.083
15.7730,55.762
16.3797,73.893
16.9863,96.000
17.5930,73.631
18.1996,63.786
18.8063,119.994
19.4129,171.381
20.0196,263.982
20.6262,257.083
21.2329,220.208
21.8396,300.571
22.4462,392.244
23.0529,346.321
23.6595,208.518
24.2662,83.857
24.8728,86.804
25.4795,36.750
26.0861,48.143
26.6928,30.000
27.2994,33.482
27.9061,53.821
28.5128,72.327
29.1194,34.429
29.7261,43.667
30.3327,48.000
30.9394,110.089
31.5460,78.571
32.1527,30.185
32.7593,32.250
33.3660,44.214
33.9726,66.667
34.5793,32.893
35.1860,45.214
35.7926,30.595
36.3993,37.286
37.0059,87.940
37.6126,282.345
38.2192,277.625
38.8259,280.476
39.4325,335.476
40.0392,438.500
40.6458,350.393
41.2525,352.143
41.8592,415.268
42.4658,362.500
43.0725,310.292
43.6791,266.286
44.2858,120.024
44.8924,196.119
45.4991,39.464
46.1057,30.048
46.7124,30.958
47.3190,30.036
47.9257,30.970
48.5324,30.024
49.1390,31.000
49.7457,30.976
50.3523,29.012
50.9590,31.000
