Distance_(microns),Gray_Value
0.0000,184.889
0.6067,35.540
1.2133,54.384
1.8200,55.429
2.4266,93.926
3.0333,36.593
3.6399,131.952
4.2466,334.815
4.8532,214.775
5.4599,541.984
6.0665,855.365
6.6732,1306.989
7.2799,1051.754
7.8865,803.889
8.4932,212.704
9.0998,49.571
9.7065,64.474
10.3131,112.709
10.9198,28.667
11.5264,31.947
12.1331,35.421
12.7397,28.333
