Distance_(microns),Gray_Value
0.0000,72.000
0.6068,95.427
1.2135,78.476
1.8203,65.518
2.4270,77.490
3.0338,80.709
3.6406,71.591
4.2473,100.719
4.8541,121.942
5.4608,108.101
6.0676,94.101
6.6743,157.569
7.2811,340.891
7.8879,476.629
8.4946,627.866
9.1014,610.313
9.7081,622.074
10.3149,685.387
10.9217,686.362
11.5284,737.045
12.1352,983.615
12.7419,1670.298
13.3487,2800.786
13.9555,2130.748
14.5622,1398.866
15.1690,1111.040
15.7757,1065.043
16.3825,1020.555
16.9892,947.206
17.5960,942.969
18.2028,885.640
18.8095,1166.569
19.4163,915.308
20.0230,922.833
20.6298,1040.634
21.2366,1058.335
21.8433,949.419
22.4501,928.804
23.0568,819.523
23.6636,577.499
24.2703,562.791
24.8771,602.500
25.4839,586.082
26.0906,464.336
26.6974,453.450
27.3041,490.104
27.9109,458.963
28.5177,417.799
29.1244,443.675
29.7312,406.079
30.3379,532.576
30.9447,710.457
31.5515,756.371
32.1582,887.433
32.7650,881.946
33.3717,963.327
33.9785,949.554
34.5852,1010.701
35.1920,980.391
35.7988,1024.671
36.4055,1122.474
37.0123,1444.341
37.6190,1441.341
38.2258,1521.667
38.8326,1732.137
39.4393,2361.301
40.0461,2077.538
40.6528,1463.834
41.2596,961.786
41.8664,991.353
42.4731,804.377
43.0799,783.283
43.6866,551.140
44.2934,687.085
44.9001,730.848
45.5069,781.127
46.1137,565.245
46.7204,262.529
47.3272,194.458
47.9339,125.354
48.5407,167.190
49.1475,183.004
49.7542,149.000
