Distance_(microns),Gray_Value
0.0000,70.000
0.6067,517.302
1.2133,472.206
1.8200,339.420
2.4266,545.018
3.0333,1180.228
3.6399,1322.605
4.2466,915.196
4.8532,565.883
5.4599,518.778
6.0665,1105.844
6.6732,907.263
7.2799,958.272
7.8865,1598.606
8.4932,2350.997
9.0998,3071.321
9.7065,2903.679
10.3131,1556.446
10.9198,1338.444
11.5264,1008.269
12.1331,1013.369
12.7397,947.518
13.3464,876.494
13.9531,812.096
14.5597,834.148
15.1664,784.956
15.7730,1012.274
16.3797,747.000
16.9863,717.705
17.5930,914.776
18.1996,714.136
18.8063,604.702
19.4129,418.844
20.0196,567.951
20.6262,400.130
21.2329,219.877
21.8396,195.222
22.4462,461.224
23.0529,577.225
23.6595,400.556
24.2662,359.772
24.8728,201.078
25.4795,707.395
26.0861,570.558
26.6928,768.760
27.2994,669.778
27.9061,880.901
28.5128,1025.144
29.1194,728.778
29.7261,974.198
30.3327,1477.711
30.9394,741.951
31.5460,1056.476
32.1527,865.022
32.7593,1411.667
33.3660,1138.361
33.9726,935.155
34.5793,1510.568
35.1860,1889.421
35.7926,2455.934
36.3993,1615.667
37.0059,1257.881
37.6126,715.062
38.2192,688.778
38.8259,723.501
39.4325,556.584
40.0392,402.741
40.6458,727.922
41.2525,368.317
41.8592,93.210
42.4658,27.007
43.0725,62.418
43.6791,33.556
44.2858,35.564
44.8924,106.439
45.4991,68.296
46.1057,28.790
46.7124,34.713
47.3190,33.728
47.9257,56.107
48.5324,193.325
49.1390,29.000
