0M,,1M,,2M,,3M,,4M,,5M,,2.5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
347.0700073,579.2645874,347.0700073,593.0479736,347.0700073,628.7068481,347.0700073,706.8848877,347.0700073,758.1727905,347.0700073,747.1503906,347.0700073,731.7610474,
348,574.2095337,348,586.9246826,348,625.3578491,348,707.0541992,348,768.5441284,348,755.2337646,348,737.6730957,
349.0700073,564.3599243,349.0700073,568.5463867,349.0700073,614.9719849,349.0700073,717.9841309,349.0700073,774.5784302,349.0700073,762.4249878,349.0700073,740.2007446,
350,557.713562,350,563.4233398,350,607.388916,350,723.7825928,350,780.8456421,350,764.371521,350,739.5671997,
351.0700073,543.6519165,351.0700073,547.1988525,351.0700073,598.6971436,351.0700073,739.499939,351.0700073,788.2973633,351.0700073,776.4407959,351.0700073,748.2937622,
352,538.4575195,352,541.2020264,352,596.5141602,352,737.8197632,352,797.7456665,352,764.9564209,352,748.3098145,
353.0700073,522.3101196,353.0700073,532.0019531,353.0700073,583.2543335,353.0700073,740.9042358,353.0700073,802.3579712,353.0700073,784.039917,353.0700073,750.9627686,
354,514.6463013,354,515.9127197,354,579.1030884,354,738.3939819,354,803.7783813,354,789.8130493,354,738.5802002,
355.0700073,490.0437927,355.0700073,503.3891907,355.0700073,570.7780151,355.0700073,740.7531738,355.0700073,810.1835327,355.0700073,795.9115601,355.0700073,742.7918091,
356,484.1546021,356,488.8966064,356,559.0192871,356,743.5569458,356,800.515686,356,787.1963501,356,735.7578735,
357.0700073,470.3147888,357.0700073,476.832428,357.0700073,546.8890991,357.0700073,743.6190796,357.0700073,804.6043701,357.0700073,799.4579468,357.0700073,736.1345215,
358,455.4095154,358,465.9612732,358,540.4345093,358,735.3747559,358,808.6323242,358,787.0478516,358,722.5532227,
359.0700073,446.0764771,359.0700073,451.7182617,359.0700073,530.6750488,359.0700073,727.3094482,359.0700073,803.1948242,359.0700073,788.4570923,359.0700073,724.9971924,
360,435.7779236,360,436.8254395,360,516.9798584,360,728.3363647,360,797.0930176,360,785.0703735,360,716.8865356,
361.0700073,418.7995911,361.0700073,418.6130066,361.0700073,501.5062561,361.0700073,726.4659424,361.0700073,786.6080322,361.0700073,776.2506104,361.0700073,709.6176147,
362,410.3510132,362,412.143158,362,494.8304138,362,717.6448975,362,789.3978271,362,774.4782715,362,703.5529785,
363.0700073,395.5428162,363.0700073,395.137207,363.0700073,481.3199158,363.0700073,705.5493164,363.0700073,772.8742676,363.0700073,762.0803833,363.0700073,689.5001831,
364,381.5973206,364,384.0067749,364,465.5718689,364,708.0738525,364,774.7852783,364,755.5720215,364,683.5119629,
365.0700073,368.2209473,365.0700073,370.1217957,365.0700073,451.59198,365.0700073,693.5704346,365.0700073,756.6013184,365.0700073,752.2705078,365.0700073,663.7481689,
366,353.4976807,366,358.1794434,366,443.9165344,366,690.1448975,366,750.2005005,366,741.713501,366,660.8147583,
367.0700073,343.4060364,367.0700073,342.4741516,367.0700073,429.5783386,367.0700073,673.7845459,367.0700073,732.2529297,367.0700073,728.9755859,367.0700073,641.6136475,
368,331.6212769,368,330.9775696,368,414.0329895,368,668.4823608,368,720.6245728,368,717.1396484,368,634.9848022,
369.0700073,315.4986877,369.0700073,316.9171753,369.0700073,407.0739136,369.0700073,654.333252,369.0700073,715.3181763,369.0700073,710.6544189,369.0700073,623.2697144,
370,307.6385498,370,309.809845,370,393.1242371,370,639.7543945,370,702.4949951,370,697.6208496,370,613.425354,
371.0700073,293.1409607,371.0700073,294.5966492,371.0700073,381.2427368,371.0700073,630.0564575,371.0700073,685.8359375,371.0700073,685.3372803,371.0700073,596.2780762,
372,284.8135681,372,284.428833,372,367.7266235,372,618.5879517,372,678.8104858,372,674.3041382,372,584.1420288,
373.0700073,273.3092957,373.0700073,272.1759338,373.0700073,358.4057922,373.0700073,607.9858398,373.0700073,659.2828979,373.0700073,664.8614502,373.0700073,568.9641113,
374,262.9996338,374,259.5862427,374,350.0526123,374,595.4071655,374,649.9361572,374,648.5296631,374,557.5075684,
375.0700073,254.2593536,375.0700073,250.8530273,375.0700073,339.5831299,375.0700073,574.2558594,375.0700073,636.3092041,375.0700073,632.7281494,375.0700073,547.0061035,
376,242.2772522,376,239.1591187,376,328.1540222,376,570.0978394,376,626.5634155,376,624.2565308,376,531.5576782,
377.0700073,227.9396973,377.0700073,233.3427277,377.0700073,310.2975769,377.0700073,554.194458,377.0700073,604.6777344,377.0700073,598.6188354,377.0700073,512.8617554,
378,219.4881134,378,221.7130432,378,303.2977295,378,539.6173096,378,592.3109741,378,592.6028442,378,501.7912292,
379.0700073,210.9675751,379.0700073,209.1318207,379.0700073,290.4790039,379.0700073,527.741394,379.0700073,577.9404907,379.0700073,580.0076904,379.0700073,488.5773926,
380,203.6490021,380,204.1071625,380,284.9320679,380,511.5995483,380,562.5716553,380,561.8659058,380,476.9172668,
381.0700073,194.9364319,381.0700073,193.2011261,381.0700073,271.5196533,381.0700073,498.4685364,381.0700073,548.2759399,381.0700073,546.8720093,381.0700073,463.4705505,
382,184.9180298,382,184.4162292,382,260.8079834,382,483.9303894,382,536.2719116,382,534.6310425,382,449.2154846,
383.0700073,176.7236938,383.0700073,177.5223846,383.0700073,248.2298584,383.0700073,472.2427063,383.0700073,522.2957153,383.0700073,517.7961426,383.0700073,432.5971375,
384,170.1816711,384,168.965271,384,243.6968079,384,458.1367493,384,505.7427979,384,506.3828125,384,423.7080994,
385.0700073,162.1200409,385.0700073,158.6386566,385.0700073,234.18367,385.0700073,446.0250854,385.0700073,489.2054749,385.0700073,485.9335022,385.0700073,410.1480408,
386,153.5516357,386,152.3311462,386,225.1968536,386,430.8175354,386,476.3122864,386,473.2240295,386,396.0406189,
387.0700073,147.3318481,387.0700073,146.8422089,387.0700073,215.6978912,387.0700073,419.4992981,387.0700073,460.9758301,387.0700073,460.6936646,387.0700073,383.3033142,
388,140.5312195,388,138.682785,388,210.4855804,388,406.4749756,388,450.9989929,388,451.428833,388,372.8453979,
389.0700073,132.7337494,389.0700073,135.9025574,389.0700073,199.8393555,389.0700073,397.4708252,389.0700073,439.7413635,389.0700073,429.6117554,389.0700073,359.9543152,
390,129.7668152,390,128.0814819,390,192.9999237,390,383.9370117,390,421.9198608,390,421.8130493,390,347.9523926,
391.0700073,121.112442,391.0700073,121.1584091,391.0700073,185.9266357,391.0700073,370.5656433,391.0700073,409.2483215,391.0700073,410.1216736,391.0700073,336.9710388,
392,114.3634644,392,114.8210831,392,176.1088715,392,360.8133545,392,396.5724792,392,393.4649353,392,326.9671021,
393.0700073,110.4651184,393.0700073,110.223053,393.0700073,168.1550446,393.0700073,343.5989075,393.0700073,382.4305115,393.0700073,379.9883423,393.0700073,311.7345276,
394,106.2043915,394,105.1397552,394,164.4274139,394,336.2962952,394,370.4365234,394,373.3289795,394,302.5928345,
395.0700073,101.4859467,395.0700073,99.41151428,395.0700073,156.855423,395.0700073,324.8853149,395.0700073,354.3173218,395.0700073,355.4274902,395.0700073,291.0990295,
396,98.28191376,396,96.74939728,396,148.8258667,396,314.2010803,396,347.4401245,396,347.4631348,396,283.7563782,
397.0700073,92.69185638,397.0700073,90.39009094,397.0700073,144.9212952,397.0700073,302.9232178,397.0700073,337.4544983,397.0700073,334.2148743,397.0700073,274.0417786,
398,88.27417755,398,85.31947327,398,140.106369,398,292.8577271,398,326.2837219,398,326.2318726,398,262.776825,
399.0700073,83.31867218,399.0700073,82.9611969,399.0700073,131.9572144,399.0700073,285.6680908,399.0700073,312.7524414,399.0700073,310.6155701,399.0700073,258.1498413,
400,78.91564178,400,79.92528534,400,128.5629272,400,272.2286987,400,300.780304,400,300.6362305,400,248.3195953,
401.0700073,77.34732056,401.0700073,76.58474731,401.0700073,125.860321,401.0700073,263.3399048,401.0700073,295.9147339,401.0700073,293.2281799,401.0700073,240.6480408,
402,72.41397858,402,72.93056488,402,119.200882,402,254.8530731,402,287.5913086,402,282.0457764,402,230.9548035,
403.0700073,70.61739349,403.0700073,68.07910156,403.0700073,112.6025085,403.0700073,242.8561401,403.0700073,276.9603271,403.0700073,267.4779968,403.0700073,221.3465881,
404,65.93443298,404,67.01436615,404,109.566124,404,237.2741852,404,267.1262207,404,261.0415955,404,214.2527618,
405.0700073,64.07732391,405.0700073,61.93746185,405.0700073,105.7877274,405.0700073,227.7691193,405.0700073,254.7212219,405.0700073,251.4716949,405.0700073,206.8068848,
406,60.44005966,406,59.80849075,406,101.4608612,406,221.3131104,406,245.292923,406,242.8878632,406,198.0728149,
407.0700073,58.36654663,407.0700073,56.27900314,407.0700073,95.14620972,407.0700073,211.5635376,407.0700073,234.8112793,407.0700073,234.2401123,407.0700073,188.1142883,
408,54.17591858,408,54.89434433,408,92.57781219,408,203.6304779,408,226.3009033,408,228.0125732,408,184.2307892,
409.0700073,51.94464111,409.0700073,51.89093781,409.0700073,90.10971069,409.0700073,196.9782257,409.0700073,219.5878143,409.0700073,215.5715332,409.0700073,173.4575043,
410,50.56835175,410,49.97430801,410,84.4575119,410,189.2549438,410,209.8308411,410,209.3605194,410,169.5457916,
411.0700073,48.02289581,411.0700073,47.11575699,411.0700073,80.3849411,411.0700073,183.2665253,411.0700073,203.9371338,411.0700073,202.9127197,411.0700073,162.7887573,
412,45.20596695,412,46.78876877,412,79.13547516,412,176.4580231,412,196.3245087,412,194.6109161,412,156.7062378,
413.0700073,43.68805695,413.0700073,42.4534111,413.0700073,75.16010284,413.0700073,169.1439209,413.0700073,187.8035889,413.0700073,187.5,413.0700073,152.5062103,
414,41.83128738,414,41.87805557,414,74.12760925,414,162.9577332,414,182.7541809,414,178.6108551,414,145.1068573,
415.0700073,39.72240829,415.0700073,40.29921341,415.0700073,70.01157379,415.0700073,154.3091125,415.0700073,174.0722656,415.0700073,171.61203,415.0700073,140.248764,
416,38.27187347,416,38.20088959,416,64.70388794,416,151.242981,416,167.6199493,416,166.3711853,416,135.6133575,
417.0700073,36.82937622,417.0700073,35.82562637,417.0700073,64.24858093,417.0700073,144.5776978,417.0700073,160.6168823,417.0700073,157.7009888,417.0700073,128.2613068,
418,35.04781342,418,34.90919113,418,59.04648972,418,139.8941956,418,155.0507813,418,152.1920624,418,123.6831512,
419.0700073,33.76054001,419.0700073,33.22607422,419.0700073,58.52015305,419.0700073,132.5076141,419.0700073,148.5690002,419.0700073,146.2071075,419.0700073,115.7842407,
420,32.48026276,420,32.35300446,420,55.54377365,420,127.0864639,420,143.7021332,420,143.802124,420,113.0237198,
421.0599976,30.37734222,421.0599976,30.17918205,421.0599976,53.90863419,421.0599976,121.633461,421.0599976,137.6796265,421.0599976,138.0352325,421.0599976,108.9098663,
421.9599915,29.08645821,421.9599915,29.72912598,421.9599915,51.69578934,421.9599915,117.1969528,421.9599915,133.4843292,421.9599915,131.0219116,421.9599915,107.0381699,
423.0299988,27.66445732,423.0299988,27.93534851,423.0299988,49.36203384,423.0299988,112.4775467,423.0299988,128.1306,423.0299988,126.033577,423.0299988,101.2578201,
423.9299927,26.8417263,423.9299927,26.89676476,423.9299927,47.2215538,423.9299927,109.8755035,423.9299927,124.2283554,423.9299927,122.1958008,423.9299927,96.81832886,
425,25.38270187,425,26.37234688,425,45.11254501,425,105.5103226,425,119.2166824,425,116.8177109,425,93.62770844,
426.0599976,24.33927917,426.0599976,24.41556168,426.0599976,44.04449463,426.0599976,100.8578033,426.0599976,113.1183014,426.0599976,112.7683411,426.0599976,90.25589752,
426.9599915,23.6476059,426.9599915,23.73140335,426.9599915,42.02086258,426.9599915,97.07315826,426.9599915,108.632637,426.9599915,110.9360428,426.9599915,86.34952545,
428.0299988,22.23438072,428.0299988,22.67274284,428.0299988,41.70206451,428.0299988,92.58774567,428.0299988,105.7951584,428.0299988,103.6122513,428.0299988,81.7025528,
428.9299927,21.93610954,428.9299927,21.55811882,428.9299927,38.19649506,428.9299927,90.528862,428.9299927,100.0322571,428.9299927,101.0604172,428.9299927,80.55973816,
430,21.16557884,430,20.96767616,430,37.92595673,430,87.3482666,430,97.49128723,430,95.47852325,430,76.68286133,
431.0700073,21.08219337,431.0700073,19.98356819,431.0700073,34.3590889,431.0700073,82.45812225,431.0700073,92.68634796,431.0700073,92.24610138,431.0700073,74.01221466,
432,19.73230362,432,19.54132652,432,34.57015228,432,81.08163452,432,89.42201996,432,89.8686142,432,70.34763336,
433.0700073,18.69102287,433.0700073,18.75153732,433.0700073,33.68284988,433.0700073,76.28556061,433.0700073,84.62263489,433.0700073,85.10459137,433.0700073,68.55438232,
434,17.99284554,434,18.22826004,434,31.73517418,434,73.5219574,434,83.04605865,434,82.58953094,434,65.29668427,
435.0700073,17.28193855,435.0700073,17.5139904,435.0700073,31.47712708,435.0700073,72.94080353,435.0700073,78.80687714,435.0700073,78.48997498,435.0700073,62.1358223,
436,16.59845352,436,16.11832428,436,29.24859619,436,67.14137268,436,75.95108032,436,75.97905731,436,60.6532402,
437.0700073,16.28856468,437.0700073,16.47470856,437.0700073,27.82706261,437.0700073,64.7615509,437.0700073,71.81099701,437.0700073,71.53491974,437.0700073,57.08592987,
438,15.58273697,438,15.48114014,438,26.21489906,438,62.51504898,438,70.18647003,438,70.36962891,438,55.73691177,
439.0700073,14.82186604,439.0700073,15.24474335,439.0700073,25.77770996,439.0700073,59.87901306,439.0700073,68.02106476,439.0700073,66.17685699,439.0700073,53.45003891,
440,14.49291229,440,14.78310299,440,25.18478775,440,58.02005005,440,63.59723282,440,63.86260605,440,51.14319992,
441.0599976,12.94147301,441.0599976,14.0724268,441.0599976,23.51119995,441.0599976,55.33335495,441.0599976,60.34901428,441.0599976,62.61649704,441.0599976,47.74797058,
441.9599915,13.30476665,441.9599915,13.58047962,441.9599915,23.0460701,441.9599915,54.62453079,441.9599915,59.87500381,441.9599915,59.45706177,441.9599915,46.3817215,
443.0299988,12.53957081,443.0299988,12.696805,443.0299988,22.06432724,443.0299988,50.436306,443.0299988,57.01546478,443.0299988,56.74527359,443.0299988,45.711483,
443.9299927,12.41747189,443.9299927,12.62409306,443.9299927,21.36826706,443.9299927,50.53021622,443.9299927,54.6153183,443.9299927,55.0498848,443.9299927,43.57508087,
445,11.93419933,445,11.53186703,445,19.74224472,445,47.51277924,445,52.6825943,445,51.59806442,445,41.79413223,
446.0599976,11.8567028,446.0599976,11.47449303,446.0599976,19.21854591,446.0599976,46.24549866,446.0599976,49.39035034,446.0599976,49.16822052,446.0599976,39.85316467,
446.9599915,11.12131786,446.9599915,11.68256569,446.9599915,18.6522789,446.9599915,43.86466217,446.9599915,49.48445129,446.9599915,48.29411697,446.9599915,37.97577286,
448.0299988,10.30739594,448.0299988,11.11624622,448.0299988,17.56418991,448.0299988,42.19551086,448.0299988,45.80394363,448.0299988,45.47502518,448.0299988,38.14497375,
448.9299927,10.84028435,448.9299927,10.3596344,448.9299927,17.22274017,448.9299927,39.50286865,448.9299927,44.5851326,448.9299927,45.15753937,448.9299927,34.90778732,
450,9.612580299,450,10.31320381,450,16.76152229,450,38.07807159,450,43.17278671,450,42.63270569,450,34.56531525,

0M,
Sample 3
Collection Time: 09/05/2024 11:05:53
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   670
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 09/05/2024 08:35:25
Method Modifications:
Overlayed Graphs Changed: 09/05/2024 11:05:15, Old:OFF, New:ON
Excitation Wavelength Changed: 09/05/2024 11:05:15, Old: 350.00, New: 295.00
Emission Wavelength Changed: 09/05/2024 11:05:15, Old: 400.00, New: 300.00
Stop Wavelength Changed: 09/05/2024 11:05:15, Old: 600.00, New: 450.00
PMT Volts Changed: 09/05/2024 11:05:37, Old:600, New:700
Emission PMT (V): Changed: 09/05/2024 11:05:37, Old: 600, New: 700
PMT Volts Changed: 09/05/2024 11:05:50, Old:700, New:670
Emission PMT (V): Changed: 09/05/2024 11:05:50, Old: 700, New: 670
End Method Modifications
Continuum name changed to '0M'

1M,
1M
Collection Time: 09/05/2024 11:11:50
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   670
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\LAB 3_2024\GRUPPO 1\Denaturazione\save_0.FBSW
Date/Time stamp: 09/05/2024 11:07:25
Method Modifications:
Overlayed Graphs Changed: 09/05/2024 11:05:15, Old:OFF, New:ON
Excitation Wavelength Changed: 09/05/2024 11:05:15, Old: 350.00, New: 295.00
Emission Wavelength Changed: 09/05/2024 11:05:15, Old: 400.00, New: 300.00
Stop Wavelength Changed: 09/05/2024 11:05:15, Old: 600.00, New: 450.00
PMT Volts Changed: 09/05/2024 11:05:37, Old:600, New:700
Emission PMT (V): Changed: 09/05/2024 11:05:37, Old: 600, New: 700
PMT Volts Changed: 09/05/2024 11:05:50, Old:700, New:670
Emission PMT (V): Changed: 09/05/2024 11:05:50, Old: 700, New: 670
End Method Modifications

2M,
2M
Collection Time: 09/05/2024 11:20:16
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   670
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\LAB 3_2024\GRUPPO 1\Denaturazione\save_0.FBSW
Date/Time stamp: 09/05/2024 11:07:25
Method Modifications:
Overlayed Graphs Changed: 09/05/2024 11:05:15, Old:OFF, New:ON
Excitation Wavelength Changed: 09/05/2024 11:05:15, Old: 350.00, New: 295.00
Emission Wavelength Changed: 09/05/2024 11:05:15, Old: 400.00, New: 300.00
Stop Wavelength Changed: 09/05/2024 11:05:15, Old: 600.00, New: 450.00
PMT Volts Changed: 09/05/2024 11:05:37, Old:600, New:700
Emission PMT (V): Changed: 09/05/2024 11:05:37, Old: 600, New: 700
PMT Volts Changed: 09/05/2024 11:05:50, Old:700, New:670
Emission PMT (V): Changed: 09/05/2024 11:05:50, Old: 700, New: 670
End Method Modifications

3M,
3M
Collection Time: 09/05/2024 11:32:00
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   670
Corrected spectra                 OFF
Method Log     :
Method Name    : C:\LAB 3_2024\GRUPPO 1\Denaturazione\save_0.FBSW
Date/Time stamp: 09/05/2024 11:07:25
Method Modifications:
