TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	124/03/07
TIME	10:56:24
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	650.0000
LASTX	400.0000
NPOINTS	251
FIRSTY	0.08947
MAXY	0.71578
MINY	0.08947
650.0000	0.08947
649.0000	0.0897
648.0000	0.08975
647.0000	0.0896
646.0000	0.08982
645.0000	0.0899
644.0000	0.09
643.0000	0.09024
642.0000	0.0902
641.0000	0.09025
640.0000	0.09043
639.0000	0.09022
638.0000	0.09034
637.0000	0.09055
636.0000	0.09057
635.0000	0.0908
634.0000	0.09088
633.0000	0.09093
632.0000	0.09106
631.0000	0.09118
630.0000	0.09125
629.0000	0.0914
628.0000	0.09148
627.0000	0.09134
626.0000	0.09162
625.0000	0.09169
624.0000	0.09179
623.0000	0.09207
622.0000	0.09214
621.0000	0.09205
620.0000	0.09233
619.0000	0.09237
618.0000	0.09252
617.0000	0.09273
616.0000	0.09285
615.0000	0.09304
614.0000	0.09311
613.0000	0.09318
612.0000	0.09327
611.0000	0.09338
610.0000	0.09336
609.0000	0.09334
608.0000	0.09356
607.0000	0.09369
606.0000	0.09368
605.0000	0.09361
604.0000	0.09367
603.0000	0.09382
602.0000	0.09392
601.0000	0.09397
600.0000	0.09371
599.0000	0.09396
598.0000	0.09369
597.0000	0.09358
596.0000	0.09363
595.0000	0.09366
594.0000	0.09393
593.0000	0.09413
592.0000	0.0941
591.0000	0.09449
590.0000	0.09446
589.0000	0.09442
588.0000	0.09464
587.0000	0.09498
586.0000	0.09507
585.0000	0.09534
584.0000	0.09549
583.0000	0.09609
582.0000	0.09594
581.0000	0.09627
580.0000	0.09665
579.0000	0.09715
578.0000	0.09727
577.0000	0.09736
576.0000	0.09772
575.0000	0.0981
574.0000	0.09849
573.0000	0.09895
572.0000	0.09935
571.0000	0.10033
570.0000	0.10099
569.0000	0.10173
568.0000	0.10288
567.0000	0.10393
566.0000	0.10514
565.0000	0.10688
564.0000	0.10866
563.0000	0.11071
562.0000	0.11336
561.0000	0.1159
560.0000	0.11917
559.0000	0.12314
558.0000	0.12761
557.0000	0.13267
556.0000	0.13903
555.0000	0.14582
554.0000	0.15364
553.0000	0.16256
552.0000	0.17301
551.0000	0.18468
550.0000	0.19776
549.0000	0.21251
548.0000	0.2287
547.0000	0.24698
546.0000	0.2673
545.0000	0.28927
544.0000	0.31332
543.0000	0.33921
542.0000	0.36667
541.0000	0.39589
540.0000	0.42608
539.0000	0.45637
538.0000	0.48763
537.0000	0.51871
536.0000	0.54971
535.0000	0.57942
534.0000	0.60728
533.0000	0.6328
532.0000	0.65554
531.0000	0.67516
530.0000	0.69112
529.0000	0.70338
528.0000	0.7115
527.0000	0.71578
526.0000	0.71573
525.0000	0.7121
524.0000	0.70559
523.0000	0.69569
522.0000	0.68274
521.0000	0.66799
520.0000	0.65629
519.0000	0.63282
518.0000	0.61352
517.0000	0.59371
516.0000	0.57402
515.0000	0.5539
514.0000	0.53411
513.0000	0.51498
512.0000	0.4968
511.0000	0.4793
510.0000	0.46288
509.0000	0.448
508.0000	0.43371
507.0000	0.42133
506.0000	0.40995
505.0000	0.40005
504.0000	0.39085
503.0000	0.38275
502.0000	0.37576
501.0000	0.36973
500.0000	0.36405
499.0000	0.35899
498.0000	0.3543
497.0000	0.34985
496.0000	0.34544
495.0000	0.34054
494.0000	0.33591
493.0000	0.33112
492.0000	0.32582
491.0000	0.3201
490.0000	0.31411
489.0000	0.30765
488.0000	0.30087
487.0000	0.29389
486.0000	0.28624
485.0000	0.27884
484.0000	0.27087
483.0000	0.26312
482.0000	0.25524
481.0000	0.24787
480.0000	0.23989
479.0000	0.23273
478.0000	0.22579
477.0000	0.21937
476.0000	0.21278
475.0000	0.20688
474.0000	0.20168
473.0000	0.19649
472.0000	0.19183
471.0000	0.18739
470.0000	0.18344
469.0000	0.17985
468.0000	0.17691
467.0000	0.1735
466.0000	0.17087
465.0000	0.16833
464.0000	0.16604
463.0000	0.16388
462.0000	0.1616
461.0000	0.15971
460.0000	0.15787
459.0000	0.15631
458.0000	0.15446
457.0000	0.15299
456.0000	0.15171
455.0000	0.15004
454.0000	0.14896
453.0000	0.1473
452.0000	0.14588
451.0000	0.14445
450.0000	0.14343
449.0000	0.14251
448.0000	0.14139
447.0000	0.14038
446.0000	0.13935
445.0000	0.13862
444.0000	0.13785
443.0000	0.13697
442.0000	0.13664
441.0000	0.13617
440.0000	0.13565
439.0000	0.13508
438.0000	0.13481
437.0000	0.13438
436.0000	0.13405
435.0000	0.13359
434.0000	0.13346
433.0000	0.13284
432.0000	0.13287
431.0000	0.13222
430.0000	0.13205
429.0000	0.13234
428.0000	0.13218
427.0000	0.13204
426.0000	0.1325
425.0000	0.13238
424.0000	0.1327
423.0000	0.13222
422.0000	0.13213
421.0000	0.13213
420.0000	0.13283
419.0000	0.13325
418.0000	0.13337
417.0000	0.13356
416.0000	0.13423
415.0000	0.13416
414.0000	0.13433
413.0000	0.1347
412.0000	0.13509
411.0000	0.13491
410.0000	0.13533
409.0000	0.13566
408.0000	0.13577
407.0000	0.13602
406.0000	0.13641
405.0000	0.13665
404.0000	0.13647
403.0000	0.13687
402.0000	0.13696
401.0000	0.13715
400.0000	0.13724
