TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	124/03/07
TIME	11:34:18
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	650.0000
LASTX	400.0000
NPOINTS	251
FIRSTY	0.08239
MAXY	0.63729
MINY	0.08191
650.0000	0.08239
649.0000	0.08191
648.0000	0.08241
647.0000	0.08241
646.0000	0.08258
645.0000	0.08269
644.0000	0.0825
643.0000	0.08256
642.0000	0.08245
641.0000	0.08244
640.0000	0.08287
639.0000	0.08281
638.0000	0.08281
637.0000	0.08321
636.0000	0.08285
635.0000	0.08307
634.0000	0.08321
633.0000	0.08329
632.0000	0.08326
631.0000	0.08314
630.0000	0.08333
629.0000	0.08339
628.0000	0.08343
627.0000	0.08358
626.0000	0.08361
625.0000	0.08361
624.0000	0.08395
623.0000	0.08381
622.0000	0.08393
621.0000	0.08378
620.0000	0.08413
619.0000	0.08433
618.0000	0.08443
617.0000	0.08431
616.0000	0.08449
615.0000	0.08472
614.0000	0.08508
613.0000	0.08511
612.0000	0.08514
611.0000	0.08508
610.0000	0.085
609.0000	0.08546
608.0000	0.08516
607.0000	0.08534
606.0000	0.08551
605.0000	0.08558
604.0000	0.08544
603.0000	0.0855
602.0000	0.08539
601.0000	0.08546
600.0000	0.0852
599.0000	0.08552
598.0000	0.0852
597.0000	0.08497
596.0000	0.0852
595.0000	0.08504
594.0000	0.08522
593.0000	0.08525
592.0000	0.08528
591.0000	0.08549
590.0000	0.08602
589.0000	0.08568
588.0000	0.08575
587.0000	0.08605
586.0000	0.08617
585.0000	0.08639
584.0000	0.08648
583.0000	0.08651
582.0000	0.08684
581.0000	0.08718
580.0000	0.08717
579.0000	0.08735
578.0000	0.08771
577.0000	0.088
576.0000	0.08823
575.0000	0.08834
574.0000	0.08855
573.0000	0.08908
572.0000	0.08963
571.0000	0.09043
570.0000	0.09087
569.0000	0.09146
568.0000	0.09279
567.0000	0.09372
566.0000	0.09481
565.0000	0.09611
564.0000	0.09776
563.0000	0.09966
562.0000	0.10174
561.0000	0.10425
560.0000	0.10695
559.0000	0.1106
558.0000	0.1147
557.0000	0.11945
556.0000	0.12487
555.0000	0.13115
554.0000	0.13816
553.0000	0.1461
552.0000	0.15502
551.0000	0.16546
550.0000	0.17743
549.0000	0.19072
548.0000	0.20531
547.0000	0.22169
546.0000	0.23963
545.0000	0.25985
544.0000	0.28104
543.0000	0.30406
542.0000	0.32846
541.0000	0.35434
540.0000	0.38129
539.0000	0.40867
538.0000	0.43595
537.0000	0.46369
536.0000	0.49083
535.0000	0.51727
534.0000	0.54209
533.0000	0.5648
532.0000	0.58504
531.0000	0.60219
530.0000	0.61642
529.0000	0.62715
528.0000	0.63415
527.0000	0.63723
526.0000	0.63729
525.0000	0.63373
524.0000	0.62748
523.0000	0.61854
522.0000	0.60727
521.0000	0.59379
520.0000	0.58313
519.0000	0.56232
518.0000	0.54471
517.0000	0.52727
516.0000	0.50913
515.0000	0.49145
514.0000	0.47349
513.0000	0.45668
512.0000	0.43995
511.0000	0.42465
510.0000	0.40979
509.0000	0.39646
508.0000	0.38422
507.0000	0.37248
506.0000	0.36224
505.0000	0.35308
504.0000	0.34536
503.0000	0.33807
502.0000	0.33163
501.0000	0.32606
500.0000	0.32099
499.0000	0.31636
498.0000	0.31218
497.0000	0.308
496.0000	0.30383
495.0000	0.30004
494.0000	0.29587
493.0000	0.29136
492.0000	0.2868
491.0000	0.28196
490.0000	0.27647
489.0000	0.27078
488.0000	0.26453
487.0000	0.25847
486.0000	0.25172
485.0000	0.24476
484.0000	0.23786
483.0000	0.23114
482.0000	0.22425
481.0000	0.21719
480.0000	0.21067
479.0000	0.20422
478.0000	0.19779
477.0000	0.19224
476.0000	0.18652
475.0000	0.18109
474.0000	0.17621
473.0000	0.17169
472.0000	0.16744
471.0000	0.16356
470.0000	0.16001
469.0000	0.15686
468.0000	0.15376
467.0000	0.15092
466.0000	0.14832
465.0000	0.14606
464.0000	0.14428
463.0000	0.14213
462.0000	0.14043
461.0000	0.13857
460.0000	0.13697
459.0000	0.13565
458.0000	0.13441
457.0000	0.13297
456.0000	0.13167
455.0000	0.13053
454.0000	0.129
453.0000	0.12761
452.0000	0.12693
451.0000	0.12539
450.0000	0.12451
449.0000	0.12349
448.0000	0.12244
447.0000	0.12155
446.0000	0.12058
445.0000	0.1202
444.0000	0.11947
443.0000	0.11881
442.0000	0.11815
441.0000	0.11779
440.0000	0.11756
439.0000	0.11676
438.0000	0.11653
437.0000	0.11615
436.0000	0.11573
435.0000	0.11509
434.0000	0.11481
433.0000	0.11439
432.0000	0.11412
431.0000	0.11377
430.0000	0.11368
429.0000	0.1134
428.0000	0.11369
427.0000	0.11373
426.0000	0.11383
425.0000	0.11423
424.0000	0.11443
423.0000	0.11412
422.0000	0.11371
421.0000	0.11348
420.0000	0.11438
419.0000	0.11425
418.0000	0.11466
417.0000	0.11501
416.0000	0.11544
415.0000	0.11549
414.0000	0.11601
413.0000	0.11593
412.0000	0.11623
411.0000	0.11618
410.0000	0.11604
409.0000	0.11667
408.0000	0.11679
407.0000	0.11669
406.0000	0.11679
405.0000	0.11693
404.0000	0.1172
403.0000	0.11769
402.0000	0.11768
401.0000	0.11748
400.0000	0.11781
