wavelength,ellipticity_0,ellipticity_1,ellipticity_2,ellipticity_3,ellipticity_4,ellipticity_5,ellipticity_6
238,-8.688973944485638e-05,-0.00010642990318684397,-4.343870677576426e-05,-4.5975279584196776e-05,-5.907599129884206e-05,1.0936865538555675e-05,-3.0268969993004127e-05
237,-0.00010204492655733068,-0.00013365615749045499,-8.587882259116598e-05,-6.346587507818449e-05,-3.6547011566232856e-05,-1.8890949566595066e-05,-5.335547253004043e-05
236,-0.00011972597818855159,-0.0001930588941528797,-1.0984500563986054e-05,-6.846318807646645e-05,-3.6547011566232856e-05,-6.11470209655579e-05,-1.2312801353086802e-05
235,-0.00013488116530102677,-0.0001683077538768696,-8.33823451902601e-05,-0.00013592691355327548,-5.1566331387971745e-05,-3.131920586040716e-05,-4.565997168436107e-05
234,-0.0001550880814509934,-0.00014355661360085953,-9.336825479388363e-05,-0.00016091347854468613,-7.409531112058095e-05,-4.126181089545769e-05,-3.79644708386826e-05
233,-0.00015256221693224769,-0.00017573309595967238,-9.336825479388363e-05,-9.34497530678771e-05,-5.907599129884206e-05,-7.854657977689569e-05,8.208534235390015e-06
232,-0.0002510709331633342,-0.0002697874290085117,-7.089995818572983e-05,-0.0001434228830506984,-5.1566331387971745e-05,-1.8890949566595066e-05,-5.335547253004043e-05
231,-0.0002409674750883513,-0.00028216299914651636,-0.00013580837060928535,-0.00016840944804210993,-8.160497103145125e-05,-4.374746215422011e-05,-6.10509733757189e-05
230,-0.00029401062998201316,-0.0002945385692845218,-0.00018074496382559298,-0.00018590004353609678,-9.912751082348082e-05,-7.60609285181324e-05,-2.0521335588479488e-06
229,-0.00036473483650689676,-0.0004034435864989667,-0.00012582246100566183,-0.000298339585997446,-0.0001792305498727575,-0.0001133456973995704,1.0773701183949506e-05
228,-0.0004278814494755423,-0.0004430454109405832,-0.00023067451184371235,-0.0002408704865172009,-0.00014919191022927885,-0.000148144815022246,1.0773701183949506e-05
227,-0.0004430366365880166,-0.0004529458670509869,-0.00012582246100566183,-0.00037080062447253695,-0.0001416822503184094,-4.6233113412982526e-05,8.208534235390015e-06
226,-0.0005617522689690706,-0.0005098734896858107,-0.00030806531127179816,-0.0003083342119940099,-0.00018924342975391764,-0.00011831699991709525,-0.00010722397844979153
225,-0.0006324764754939533,-0.0006163033928726547,-0.0002781075824609267,-0.00020339063903008448,-0.00019174664972420745,-0.00016057307131605808,-0.00013287564793538733
224,-0.0005996402367502581,-0.0005940273666242455,-0.0002656251954563964,-0.0004232724109545001,-0.0002793593486843544,-6.363267222432032e-05,-1.2312801353086802e-05
223,-0.0006324764754939533,-0.0006484798752314683,-0.0003954420203035075,-0.00042826972395278206,-0.00037948814749595136,-9.843178984699504e-05,8.772870964073779e-05
222,-0.00065268339164392,-0.0006311540770382611,-0.0003704772462944478,-0.0004207737544553591,-0.00014418547028869922,-0.00010091744110575832,-2.7703803044443746e-05
221,-0.0006905713594251075,-0.0007177830680042968,-0.0004503645231234395,-0.00032582480748799764,-0.000321914088179283,-3.977042014019696e-06,-0.00032269800212879763
220,-0.0006981489529813447,-0.0007202581820318977,-0.00045286100052434536,-0.0005257173274192837,-0.000246817489070586,-0.00028236998299542175,-2.7703803044443746e-05
219,-0.0006880454949063617,-0.0007796609186943224,-0.00041291736210984954,-0.0004657495714398985,-0.00033943662797131257,-0.00025254216789027186,-0.00021752615723785406
218,-0.0007107782755750742,-0.0007078826118938922,-0.0006201249863850465,-0.0006306609003832092,-0.0004545847466046484,-0.00021774305026759627,-0.0003893923427913471
217,-0.0008067611272874149,-0.0007326337521699032,-0.0005502236191596791,-0.0005207200144210017,-0.0002993851084466738,-0.0003097121468418092,-0.00042017434617406185
216,-0.0007360369207625322,-0.0007771858046667215,-0.000497797593740653,-0.0006256635873849272,-0.0003945074673176911,-0.0004563655711087979,-0.0006074315334189126
215,-0.0008421232305498567,-0.0008365885413291462,-0.0007549347660339692,-0.0006706394043694665,-0.0005697328652379851,-0.00039670994089849814,-0.0007023427105156174
214,-0.0008118128563249064,-0.0008242129711911407,-0.0007374594242276272,-0.0009479902757741264,-0.0006398230244061024,-0.0007645863271953507,-0.00015083181657530464
213,-0.0008042352627686692,-0.0008539143395223526,-0.0006126355541823279,-0.0009929660927586658,-0.0010253188998307495,0.00031418631910758274,-0.001779712828910648
212,-0.0008901146564060271,-0.00089599127799157,-0.00032803713047904607,-0.001032944596744923,-0.0010503510995336486,-0.00036936777705210983,-0.0015950208086143566
211,-0.0006248988819377162,-0.0007326337521699032,-0.0006500827151959179,-0.0006031756788926575,-0.00040952678713943,-0.001515253007341631,0.0008418877925172583
210,-0.0007941318046936864,-0.0008761903657707618,-0.0010694909185481234,-0.0006806340303660314,-0.0007800033427423382,-0.0017389616206302581,-0.0002842204979004035
209,-0.0008926405209247728,-0.000737583980225105,-6.840348078482394e-05,6.49650689776637e-06,-0.002847663038201809,-0.0010305510118829406,-0.0003303935029744761
208,-0.0007410886498000236,-0.0012177561015797038,-0.005241104655462022,0.001248328786970883,-0.0005772425251488545,-0.001075292734540666,0.00044172174854196177
207,-0.0005516488108940869,-0.0024577882294078168,-0.0010345402349354392,0.0008310531516143222,-0.00026934646880319516,0.00043846888204570884,0.0003006375663711844
206,-0.0005440712173378497,-0.002994887973397238,-0.0007798995400430289,0.0021803276611505056,8.110432703739364e-05,0.00042106932323437106,-4.309480473580158e-05
205,-0.00033189859776320066,0.0003638417620573502,-0.0002656251954563964,-0.0005482052359115542,-0.0013257052962655394,-0.0013835134906272177,0.0004006790773650081
204,-0.00020055364278841808,-0.00010147967513164212,0.00035599767736919333,-0.0008830252067964584,-0.0006548423442278423,-0.00012328830243462093,0.00017750955284032353
203,-0.0003268468687257092,0.0003861177883057594,-5.8417571181199546e-05,-0.0006281622438840681,-0.00037948814749595136,-0.0010976635958695284,-0.0008434268926863956
202,0.0002818864802920333,-0.0013291362328217496,-0.0002506463310509603,-0.000365803311474255,-0.0006598487841684219,-0.0005334207601304363,0.00024676906045143247
201,-0.00014498462337600963,-0.00023266071859449618,-0.0004253997491143798,0.0004462600507465959,-0.0007424550431879893,-0.0010355223144004654,-0.0003534800055115124
