wavelength,ellipticity_0,ellipticity_1,ellipticity_2,ellipticity_3,ellipticity_4,ellipticity_5,ellipticity_6
260,-9.400000000000033e-05,-7.000000000000062e-05,-2.3999999999999716e-05,1.5999999999995185e-05,4.000000000000531e-06,6.400000000000156e-05,1.1999999999998123e-05
259,2.6000000000001716e-05,-9.999999999999593e-06,-1.4000000000000123e-05,1.5999999999995185e-05,-5.999999999999062e-06,1.4000000000000123e-05,1.9999999999985307e-06
258,-6.399999999999809e-05,9.99999999999994e-05,-0.0001339999999999987,-3.400000000000278e-05,-4.60000000000009e-05,-3.599999999999784e-05,4.19999999999969e-05
257,1.6000000000002124e-05,-3.999999999999837e-05,0.00016599999999999948,-4.000000000004e-06,4.400000000000237e-05,-2.5999999999998247e-05,-4.80000000000029e-05
256,0.00011600000000000152,1.9999999999999185e-05,5.999999999999062e-06,5.999999999995592e-06,4.000000000000531e-06,-1.5999999999998654e-05,-8.000000000001062e-06
255,8.599999999999927e-05,0.00016000000000000042,0.00028600000000000153,1.5999999999995185e-05,4.400000000000237e-05,5.400000000000196e-05,0.00012199999999999711
254,7.599999999999968e-05,7.000000000000062e-05,0.00010600000000000193,5.5999999999997024e-05,9.400000000000033e-05,0.00015400000000000136,5.1999999999996493e-05
253,0.00017599999999999907,0.0001899999999999992,0.00017599999999999907,5.5999999999997024e-05,0.00010399999999999993,8.400000000000074e-05,0.00026199999999999835
252,4.60000000000009e-05,4.000000000000184e-05,4.60000000000009e-05,3.599999999999784e-05,3.399999999999931e-05,0.00024400000000000116,5.1999999999996493e-05
251,9.599999999999886e-05,0.0001899999999999992,0.00020600000000000132,1.5999999999995185e-05,0.00010399999999999993,6.400000000000156e-05,0.00027199999999999794
250,0.00010600000000000193,0.00023000000000000104,0.0002659999999999989,-4.000000000004e-06,0.00015400000000000136,9.400000000000033e-05,0.0001419999999999963
249,0.0001559999999999999,0.0001899999999999992,0.0001559999999999999,-4.400000000000237e-05,6.400000000000156e-05,0.00019399999999999973,0.00010199999999999793
248,-4.000000000000531e-06,5.000000000000143e-05,0.0002960000000000011,-3.400000000000278e-05,0.00015400000000000136,0.00018400000000000014,0.0001319999999999967
247,0.00011600000000000152,-9.999999999999593e-06,9.600000000000233e-05,-2.4000000000003185e-05,0.00013400000000000217,0.00023400000000000157,5.1999999999996493e-05
246,-2.3999999999999716e-05,9.99999999999994e-05,0.0002659999999999989,-4.000000000004e-06,-1.5999999999998654e-05,0.00011400000000000299,0.0001319999999999967
245,0.00011600000000000152,-4.999999999999796e-05,0.00036600000000000174,3.599999999999784e-05,0.00013400000000000217,0.00011400000000000299,-8.000000000001062e-06
244,0.0001260000000000011,0.00015000000000000083,5.999999999999062e-06,-6.400000000000156e-05,5.400000000000196e-05,3.400000000000278e-05,4.19999999999969e-05
243,-6.399999999999809e-05,-8.000000000000021e-05,0.00019600000000000173,-7.400000000000462e-05,9.400000000000033e-05,0.00019399999999999973,-1.8000000000000654e-05
242,-0.0001539999999999979,-0.0002699999999999994,0.0003060000000000007,-9.40000000000038e-05,7.400000000000115e-05,-5.999999999999062e-06,6.199999999999956e-05
241,-0.00018400000000000014,-0.00024000000000000063,5.6000000000000494e-05,-0.00021400000000000238,-0.0001460000000000003,4.000000000000531e-06,-8.800000000000127e-05
240,-0.0002139999999999989,-0.0002599999999999998,0.0002559999999999993,-0.00013400000000000217,6.400000000000156e-05,0.00014400000000000177,-2.8000000000003716e-05
239,-0.00034400000000000056,-0.0003599999999999992,-0.00017400000000000054,-0.0001040000000000034,-0.00017599999999999907,-5.5999999999997024e-05,-3.800000000000331e-05
238,-0.00034400000000000056,-0.0004299999999999998,-0.00017400000000000054,-0.0001840000000000036,-0.0002360000000000001,4.400000000000237e-05,-0.00011800000000000352
237,-0.0004039999999999981,-0.0005399999999999988,-0.00034400000000000056,-0.0002540000000000042,-0.0001460000000000003,-7.599999999999968e-05,-0.00020800000000000332
236,-0.00047399999999999873,-0.0007799999999999994,-4.39999999999989e-05,-0.0002740000000000034,-0.0001460000000000003,-0.0002459999999999997,-4.80000000000029e-05
235,-0.0005339999999999998,-0.00068,-0.00033400000000000096,-0.0005440000000000028,-0.00020599999999999785,-0.00012599999999999764,-0.00017800000000000107
234,-0.000614,-0.0005800000000000007,-0.00037399999999999933,-0.0006440000000000022,-0.00029599999999999765,-0.00016599999999999948,-0.0001480000000000023
233,-0.0006040000000000004,-0.0007099999999999988,-0.00037399999999999933,-0.0003740000000000028,-0.0002360000000000001,-0.0003160000000000003,3.199999999999731e-05
232,-0.0009939999999999984,-0.0010900000000000007,-0.00028399999999999953,-0.0005740000000000016,-0.00020599999999999785,-7.599999999999968e-05,-0.00020800000000000332
231,-0.000954,-0.0011399999999999987,-0.0005439999999999993,-0.0006740000000000045,-0.0003259999999999999,-0.00017599999999999907,-0.0002380000000000021
230,-0.0011639999999999984,-0.00119,-0.000723999999999999,-0.0007440000000000016,-0.0003960000000000005,-0.00030599999999999725,-8.000000000001062e-06
229,-0.0014440000000000008,-0.0016299999999999995,-0.000504000000000001,-0.001194000000000004,-0.0007159999999999979,-0.0004559999999999981,4.19999999999969e-05
228,-0.001694000000000001,-0.00179,-0.0009239999999999977,-0.000964000000000003,-0.0005959999999999993,-0.0005959999999999993,4.19999999999969e-05
227,-0.0017539999999999986,-0.0018299999999999983,-0.000504000000000001,-0.0014840000000000027,-0.0005660000000000005,-0.00018599999999999867,3.199999999999731e-05
226,-0.0022240000000000003,-0.0020599999999999993,-0.001233999999999999,-0.0012340000000000025,-0.0007559999999999997,-0.00047599999999999726,-0.0004180000000000017
225,-0.0025039999999999993,-0.002489999999999999,-0.0011140000000000004,-0.0008140000000000022,-0.0007659999999999993,-0.0006459999999999973,-0.0005180000000000011
224,-0.002374000000000001,-0.0023999999999999994,-0.001063999999999999,-0.0016940000000000045,-0.001115999999999999,-0.0002559999999999993,-4.80000000000029e-05
223,-0.0025039999999999993,-0.002620000000000001,-0.0015839999999999986,-0.0017140000000000037,-0.001516,-0.00039599999999999705,0.00034199999999999856
222,-0.0025839999999999995,-0.00255,-0.0014839999999999992,-0.001684000000000005,-0.0005760000000000001,-0.0004060000000000001,-0.00010800000000000046
221,-0.0027340000000000003,-0.0029,-0.001804,-0.001304000000000003,-0.001285999999999999,-1.5999999999998654e-05,-0.0012580000000000022
220,-0.002763999999999999,-0.0029099999999999994,-0.0018139999999999996,-0.0021040000000000017,-0.0009860000000000008,-0.0011359999999999981,-0.00010800000000000046
219,-0.0027240000000000007,-0.00315,-0.0016539999999999992,-0.0018640000000000045,-0.0013559999999999996,-0.0010159999999999995,-0.0008480000000000015
218,-0.0028140000000000005,-0.002859999999999998,-0.002484,-0.002524000000000002,-0.0018159999999999982,-0.0008759999999999983,-0.001518000000000002
217,-0.003193999999999999,-0.002960000000000001,-0.002204000000000001,-0.0020840000000000025,-0.0011959999999999991,-0.0012459999999999971,-0.0016380000000000006
216,-0.002914,-0.0031400000000000004,-0.0019939999999999992,-0.0025040000000000028,-0.001576000000000001,-0.0018359999999999974,-0.002368000000000002
215,-0.003334,-0.003380000000000001,-0.003023999999999999,-0.0026840000000000024,-0.0022760000000000002,-0.0015960000000000002,-0.002738000000000001
214,-0.003213999999999998,-0.0033299999999999996,-0.0029539999999999983,-0.0037940000000000022,-0.0025559999999999992,-0.003075999999999999,-0.0005880000000000017
213,-0.0031839999999999993,-0.003449999999999998,-0.002453999999999998,-0.003974000000000002,-0.004095999999999999,0.0012640000000000012,-0.006938000000000003
212,-0.0035239999999999994,-0.0036199999999999982,-0.0013139999999999992,-0.004134000000000002,-0.004195999999999998,-0.0014859999999999977,-0.006218000000000001
211,-0.0024740000000000005,-0.002960000000000001,-0.0026039999999999987,-0.002414000000000003,-0.0016359999999999986,-0.006095999999999997,0.0032819999999999967
210,-0.003144000000000001,-0.003539999999999998,-0.004284,-0.002724000000000004,-0.0031160000000000007,-0.006995999999999999,-0.0011080000000000013
209,-0.003533999999999999,-0.00298,-0.00027399999999999994,2.5999999999998247e-05,-0.011376,-0.004146,-0.001288000000000001
208,-0.002933999999999999,-0.004920000000000001,-0.020994,0.004995999999999997,-0.002305999999999999,-0.004326,0.0017219999999999978
207,-0.0021839999999999984,-0.009930000000000001,-0.004143999999999998,0.0033259999999999956,-0.0010760000000000006,0.0017640000000000017,0.0011719999999999994
206,-0.0021539999999999997,-0.0121,-0.0031239999999999983,0.008725999999999996,0.00032400000000000137,0.001694000000000001,-0.00016800000000000148
205,-0.0013139999999999992,0.001469999999999999,-0.001063999999999999,-0.002194000000000005,-0.005295999999999999,-0.005565999999999998,0.0015619999999999974
204,-0.0007939999999999996,-0.00041000000000000064,0.0014260000000000002,-0.0035340000000000024,-0.0026160000000000003,-0.0004959999999999999,0.0006919999999999982
203,-0.001294,0.0015599999999999989,-0.0002339999999999981,-0.0025140000000000023,-0.001516,-0.004416,-0.0032880000000000027
202,0.001115999999999999,-0.00537,-0.001003999999999998,-0.0014640000000000035,-0.0026359999999999995,-0.0021459999999999986,0.0009619999999999976
201,-0.0005739999999999981,-0.0009399999999999999,-0.0017040000000000007,0.001785999999999996,-0.002966,-0.0041659999999999996,-0.0013780000000000008
