GuHCl target (M),Mean molar ellipticity 224-226,Std ellipticity 224-226,Mean molar ellipticity 227-229,Std ellipticity 227-229,Mean molar ellipticity 224-229,Std ellipticity 224-229
0.0,-0.0005979563270710856,3.539216030420284e-05,-0.0004118843075234768,4.1529801190962195e-05,-0.0005049203172972812,0.00010760004970603593
1.0,-0.0005734014163942123,5.613290871011707e-05,-0.0004331449548301626,2.6194144734243752e-05,-0.0005032731856121876,8.623443144467914e-05
2.0,-0.0002839326963963573,2.1811460791903405e-05,-0.00016077314461833704,6.0536359776418846e-05,-0.00022235292050734712,7.878222406730821e-05
2.5,-0.00031166575399286416,0.00010997873787793128,-0.00030333689899572717,6.510906265778424e-05,-0.00030750132649429564,8.096058348250829e-05
3.0,-0.00022011647605413496,5.132109698421322e-05,-0.0001567015701401321,1.9868692554823375e-05,-0.00018840902309713353,4.917197436980741e-05
4.0,-0.00011417424781913354,4.860279868716509e-05,-0.00010257454194490845,5.180262612643163e-05,-0.00010837439488202099,4.5372498260934904e-05
5.0,-8.413747591275498e-05,6.351054986024958e-05,9.918645534429675e-06,1.4809998282671528e-06,-3.7109415189162645e-05,6.53320711146011e-05
