Distance_(microns),Gray_Value
0.0000,31.000
0.6067,29.845
1.2133,31.088
1.8200,34.926
2.4266,33.423
3.0333,29.475
3.6399,30.104
4.2466,31.109
4.8532,29.855
5.4599,47.876
6.0665,64.355
6.6732,89.269
7.2799,29.335
7.8865,29.815
8.4932,30.238
9.0998,249.558
9.7065,345.699
10.3131,838.645
10.9198,634.752
11.5264,304.330
12.1331,206.807
12.7397,192.201
13.3464,148.891
13.9531,35.859
14.5597,29.349
15.1664,178.675
15.7730,147.546
16.3797,53.034
16.9863,29.509
17.5930,30.772
18.1996,98.687
18.8063,291.773
19.4129,623.740
20.0196,237.050
20.6262,343.738
21.2329,325.652
21.8396,65.484
22.4462,29.711
23.0529,30.778
23.6595,29.691
24.2662,29.139
24.8728,30.124
25.4795,30.232
26.0861,30.257
26.6928,30.266
27.2994,30.262
27.9061,29.478
28.5128,29.188
29.1194,33.687
29.7261,32.158
30.3327,30.162
30.9394,30.568
31.5460,30.307
32.1527,40.829
32.7593,36.546
33.3660,29.520
33.9726,29.927
34.5793,29.403
35.1860,30.921
35.7926,30.489
36.3993,30.466
37.0059,30.502
37.6126,30.464
38.2192,31.762
38.8259,31.384
39.4325,30.481
40.0392,29.787
40.6458,30.953
41.2525,28.355
41.8592,29.570
42.4658,107.144
43.0725,40.627
43.6791,39.144
44.2858,30.324
44.8924,30.819
45.4991,49.049
46.1057,60.459
46.7124,117.371
47.3190,165.575
47.9257,474.908
48.5324,705.055
49.1390,171.801
49.7457,74.964
50.3523,96.612
50.9590,30.896
51.5656,51.098
52.1723,81.996
52.7789,30.329
53.3856,29.581
53.9922,30.226
54.5989,33.989
55.2056,33.152
55.8122,31.158
56.4189,29.926
57.0255,31.614
57.6322,30.871
58.2388,31.729
58.8455,31.013
59.4521,30.991
60.0588,31.059
60.6654,30.538
61.2721,32.000
