Distance_(microns),Gray_Value
0.0000,30.500
0.6068,30.911
1.2135,31.622
1.8203,34.892
2.4270,30.880
3.0338,30.000
3.6406,30.095
4.2473,56.484
4.8541,78.138
5.4608,39.553
6.0676,69.105
6.6743,80.242
7.2811,95.563
7.8879,48.195
8.4946,56.419
9.1014,74.411
9.7081,143.021
10.3149,231.306
10.9217,363.823
11.5284,236.254
12.1352,186.840
12.7419,169.464
13.3487,116.514
13.9555,104.505
14.5622,82.460
15.1690,62.859
15.7757,113.043
16.3825,51.802
16.9892,81.562
17.5960,79.512
18.2028,86.132
18.8095,249.025
19.4163,334.810
20.0230,453.537
20.6298,334.973
21.2366,265.161
21.8433,102.790
22.4501,31.069
23.0568,37.153
23.6636,32.530
24.2703,43.530
24.8771,42.275
25.4839,42.787
26.0906,29.205
26.6974,37.538
27.3041,57.241
27.9109,30.066
28.5177,30.912
29.1244,30.394
29.7312,30.815
30.3379,32.188
30.9447,31.999
31.5515,33.130
32.1582,30.762
32.7650,31.078
33.3717,30.883
33.9785,30.270
34.5852,30.730
35.1920,30.993
35.7988,30.835
36.4055,30.400
37.0123,30.010
37.6190,30.323
38.2258,31.856
38.8326,30.474
39.4393,30.550
40.0461,30.952
40.6528,30.355
41.2596,29.960
41.8664,30.430
42.4731,29.243
43.0799,29.559
43.6866,29.721
44.2934,29.745
44.9001,37.502
45.5069,37.266
46.1137,44.046
46.7204,55.181
47.3272,129.428
47.9339,305.630
48.5407,263.880
49.1475,379.178
49.7542,184.135
50.3610,99.297
50.9677,30.826
51.5745,45.226
52.1812,50.184
52.7880,30.191
53.3948,34.399
54.0015,50.057
54.6083,35.775
55.2150,71.408
55.8218,37.603
56.4286,31.847
57.0353,32.558
57.6421,31.368
58.2488,30.740
58.8556,30.305
59.4624,35.785
60.0691,43.832
60.6759,31.000
