Distance_(microns),Gray_Value
0.0000,31.000
0.6067,30.815
1.2133,37.840
1.8200,30.620
2.4266,29.851
3.0333,32.187
3.6399,30.689
4.2466,30.760
4.8532,30.560
5.4599,30.777
6.0665,29.638
6.6732,31.316
7.2799,45.419
7.8865,73.535
8.4932,119.834
9.0998,41.444
9.7065,200.937
10.3131,517.694
10.9198,468.809
11.5264,206.095
12.1331,237.035
12.7397,54.048
13.3464,36.444
13.9531,40.713
14.5597,30.387
15.1664,32.448
15.7730,163.241
16.3797,312.698
16.9863,90.954
17.5930,67.917
18.1996,120.083
18.8063,57.074
19.4129,409.420
20.0196,571.689
20.6262,414.333
21.2329,179.059
21.8396,152.486
22.4462,29.022
23.0529,29.681
23.6595,29.904
24.2662,35.615
24.8728,67.790
25.4795,206.116
26.0861,31.031
26.6928,29.730
27.2994,29.025
27.9061,30.233
28.5128,30.666
29.1194,31.586
29.7261,31.703
30.3327,31.599
30.9394,30.000
31.5460,29.847
32.1527,29.665
32.7593,30.260
33.3660,30.465
33.9726,31.443
34.5793,29.987
35.1860,29.546
35.7926,29.042
36.3993,30.407
37.0059,30.284
37.6126,29.200
38.2192,29.176
38.8259,30.794
39.4325,31.175
40.0392,30.324
40.6458,35.957
41.2525,28.611
41.8592,29.707
42.4658,32.776
43.0725,30.727
43.6791,30.442
44.2858,31.323
44.8924,31.015
45.4991,31.933
46.1057,43.904
46.7124,62.941
47.3190,70.835
47.9257,333.263
48.5324,443.481
49.1390,637.982
49.7457,174.302
50.3523,32.416
50.9590,54.881
51.5656,39.556
52.1723,30.964
52.7789,29.606
53.3856,29.402
53.9922,30.350
54.5989,30.324
55.2056,28.891
55.8122,29.232
56.4189,29.235
57.0255,30.081
57.6322,30.471
58.2388,28.202
58.8455,29.361
59.4521,29.827
60.0588,29.591
60.6654,29.568
61.2721,29.847
61.8787,28.750
