concentrazione_den[M],y_v,err_y_v,y_v_normalized,err_y_v_normalized
0.0,653.04886,1.63559,128.6834766864544,0.3222935074622104
0.993,673.26925,2.26694,128.21367619834677,0.4317035288943914
2.009,651.86147,0.98336,131.19237287865448,0.19790912292139873
2.5,744.84057,1.04534,147.34107142830754,0.2067845412970282
3.162,740.97836,1.24211,134.3879821352167,0.22527602086783483
3.974,806.35599,1.04631,150.2283808126208,0.19493308052198294
4.985,790.40691,1.51916,146.26433951070948,0.28111967544804156
