0.5,,0.4,,0.3,,0.2,,0.1,,0.08,,0.06,,0.04,,0.02,,0.01,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
530,210.3175964,530,207.2917328,530,179.826889,530,140.1275024,530,80.73397827,530,61.16682434,530,42.97248077,530,27.69429779,530,17.8246994,530,9.264709473,
531.039978,241.285141,531.039978,237.0111542,531.039978,205.0335541,531.039978,158.2628479,531.039978,88.78549957,531.039978,67.89130402,531.039978,45.74172974,531.039978,29.25097847,531.039978,15.93758392,531.039978,7.815581799,
531.9400024,268.9199219,531.9400024,263.2068787,531.9400024,223.3514709,531.9400024,174.8925781,531.9400024,97.2352066,531.9400024,72.78516388,531.9400024,48.36291504,531.9400024,30.78689003,531.9400024,15.63962173,531.9400024,7.174227715,
532.9799805,303.9518738,532.9799805,296.54245,532.9799805,251.739151,532.9799805,193.8271942,532.9799805,108.4807053,532.9799805,80.99326324,532.9799805,53.3298378,532.9799805,33.48869324,532.9799805,15.89822197,532.9799805,7.081869602,
534.0200195,345.5702515,534.0200195,336.3175354,534.0200195,283.0637207,534.0200195,220.4871368,534.0200195,120.3921738,534.0200195,89.3344574,534.0200195,59.3576355,534.0200195,37.31865692,534.0200195,17.41105652,534.0200195,7.487053871,
535.0700073,389.4051819,535.0700073,378.8175049,535.0700073,316.8239136,535.0700073,245.6833954,535.0700073,134.5709229,535.0700073,100.5222397,535.0700073,65.95574951,535.0700073,41.321064,535.0700073,19.17801666,535.0700073,8.155005455,
535.9699707,424.4929504,535.9699707,413.5744629,535.9699707,347.5396729,535.9699707,264.6421509,535.9699707,144.5920258,535.9699707,108.7811279,535.9699707,71.00482941,535.9699707,44.65817261,535.9699707,20.87692451,535.9699707,8.733307838,
537.0100098,476.1652527,537.0100098,459.4145203,537.0100098,382.5800171,537.0100098,293.9711914,537.0100098,157.3052673,537.0100098,119.1601639,537.0100098,78.54138947,537.0100098,48.85195923,537.0100098,22.81703186,537.0100098,9.743979454,
538.0499878,531.2298584,538.0499878,498.2304382,538.0499878,420.2094421,538.0499878,321.3887634,538.0499878,172.7257385,538.0499878,130.2744293,538.0499878,85.00463104,538.0499878,52.98963165,538.0499878,24.54427338,538.0499878,10.55591393,
538.9500122,567.4312744,538.9500122,541.8870239,538.9500122,448.2015381,538.9500122,343.4421387,538.9500122,185.3230591,538.9500122,137.3116608,538.9500122,90.49019623,538.9500122,56.11100388,538.9500122,25.99340057,538.9500122,10.93365574,
540,619.1383667,540,585.9182129,540,485.1505737,540,370.4347229,540,199.2246704,540,146.5255737,540,96.36808777,540,60.60385895,540,27.94931602,540,11.98959637,
541.039978,671.3303833,541.039978,632.5115356,541.039978,520.4137573,541.039978,393.2815857,541.039978,212.9560547,541.039978,157.4991455,541.039978,103.5595474,541.039978,63.97703934,541.039978,29.60800362,541.039978,12.5375824,
541.9400024,702.6329956,541.9400024,659.4935913,541.9400024,551.1000366,541.9400024,414.9835205,541.9400024,218.2423859,541.9400024,164.516922,541.9400024,107.6966629,541.9400024,66.58895874,541.9400024,31.13476944,541.9400024,13.13097,
542.9799805,757.755127,542.9799805,712.5061646,542.9799805,579.8748169,542.9799805,437.5584412,542.9799805,232.4601593,542.9799805,172.3633575,542.9799805,111.6002502,542.9799805,70.37535095,542.9799805,32.47407532,542.9799805,13.58371639,
544.0200195,796.7661133,544.0200195,742.4095459,544.0200195,610.7322998,544.0200195,458.9277344,544.0200195,240.5134277,544.0200195,180.3133698,544.0200195,116.5140991,544.0200195,72.76078033,544.0200195,33.42848587,544.0200195,14.16391277,
545.0700073,834.487915,545.0700073,776.9356689,545.0700073,636.484314,545.0700073,475.1110535,545.0700073,247.7024384,545.0700073,186.596756,545.0700073,121.2202377,545.0700073,74.59172821,545.0700073,34.47248077,545.0700073,14.64271736,
545.9699707,862.6488037,545.9699707,794.2463379,545.9699707,650.8196411,545.9699707,481.9549561,545.9699707,258.718689,545.9699707,191.016449,545.9699707,123.4159393,545.9699707,77.48206329,545.9699707,35.05386734,545.9699707,14.99031448,
547.0100098,886.9584961,547.0100098,825.7028809,547.0100098,673.1924438,547.0100098,499.661438,547.0100098,264.1958313,547.0100098,198.1421204,547.0100098,126.3770905,547.0100098,78.8289566,547.0100098,36.24577713,547.0100098,15.35845184,
548.0499878,920.0634155,548.0499878,849.0994873,548.0499878,685.9333496,548.0499878,510.164093,548.0499878,269.5812073,548.0499878,200.0415039,548.0499878,128.9780426,548.0499878,79.09205627,548.0499878,36.874897,548.0499878,15.62490654,
548.9500122,937.645874,548.9500122,857.2399902,548.9500122,698.0632935,548.9500122,516.1426392,548.9500122,271.3981934,548.9500122,204.1352692,548.9500122,130.5924377,548.9500122,80.66670227,548.9500122,37.24136353,548.9500122,15.57723045,
550,961.423645,550,881.512146,550,707.8261719,550,521.885498,550,275.2234192,550,201.6855316,550,131.5829163,550,81.69211578,550,37.1953125,550,15.77874279,
551.0200195,968.826416,551.0200195,883.2590332,551.0200195,712.328125,551.0200195,520.4649658,551.0200195,276.5402527,551.0200195,203.9769287,551.0200195,131.3041687,551.0200195,81.25746155,551.0200195,37.48139191,551.0200195,15.95873737,
