rodamina_emission,,rodamina_excitation,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,531.9400024,924.4546509,
,,532.9799805,910.2997437,
,,534.0200195,924.1002808,
,,535.0700073,912.8151855,
,,535.9699707,895.4730835,
,,537.0100098,889.7471313,
,,538.0499878,865.1763306,
,,538.9500122,845.3036499,
,,540,810.4143677,
,,541.039978,787.6588745,
,,541.9400024,750.3864746,
,,542.9799805,708.0133057,
,,544.0200195,663.5048218,
,,545.0700073,613.2767334,
,,545.9699707,571.0616455,
,,547.0100098,517.7861328,
,,548.0499878,467.9963379,
,,548.9500122,429.9259338,
,,550,387.4311829,

rodamina_emission,
rodamina_emission
Collection Time: 06/05/2024 09:28:37
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        530.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               526.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   490
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 06/05/2024 08:37:45
Method Modifications:
Overlayed Graphs Changed: 06/05/2024 09:19:22, Old:OFF, New:ON
PMT Volts Changed: 06/05/2024 09:19:22, Old:600, New:500
User Delta Stop Changed: 06/05/2024 09:19:22, Old: 450.00, New: 526.00
User Delta Increment Changed: 06/05/2024 09:19:22, Old:  10.00, New:   0.15
Emission PMT (V): Changed: 06/05/2024 09:19:22, Old: 600, New: 500
Excitation Wavelength Changed: 06/05/2024 09:19:22, Old: 350.00, New: 526.00
Emission Wavelength Changed: 06/05/2024 09:19:22, Old: 400.00, New: 530.00
Stop Wavelength Changed: 06/05/2024 09:19:22, Old: 600.00, New: 650.00
PMT Volts Changed: 06/05/2024 09:19:34, Old:500, New:450
Emission PMT (V): Changed: 06/05/2024 09:19:34, Old: 500, New: 450
PMT Volts Changed: 06/05/2024 09:19:46, Old:450, New:480
Emission PMT (V): Changed: 06/05/2024 09:19:46, Old: 450, New: 480
PMT Volts Changed: 06/05/2024 09:20:00, Old:480, New:490
