500,,550,,650,,700,,750,,770,,780,,720,,730,,680,,580,,590,,610,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
530,10.5145731,530,27.73690987,530,99.26768494,530,200.2543488,530,400.461792,530,469.4065857,530,526.2622681,530,255.4376068,530,280.8308411,530,155.9515076,530,34.56805038,530,39.17188263,530,57.16060638,
531.039978,8.354207993,531.039978,21.60251236,531.039978,85.3548584,531.039978,174.0641327,531.039978,340.5215454,531.039978,400.8166809,531.039978,452.4673157,531.039978,210.8671875,531.039978,241.5812378,531.039978,134.5037689,531.039978,29.21208572,531.039978,33.53125763,531.039978,48.37543488,
531.9400024,7.284009457,531.9400024,18.85490799,531.9400024,79.89752197,531.9400024,161.8417206,531.9400024,311.7203064,531.9400024,376.3266296,531.9400024,419.571228,531.9400024,201.5306549,531.9400024,225.1335602,531.9400024,123.0476151,531.9400024,27.54791069,531.9400024,31.61604691,531.9400024,44.63838577,
532.9799805,6.977982998,532.9799805,17.87255669,532.9799805,79.55728912,532.9799805,161.443573,532.9799805,305.8638611,532.9799805,374.0079346,532.9799805,416.3757324,532.9799805,197.747345,532.9799805,226.2568207,532.9799805,124.1214447,532.9799805,26.97402763,532.9799805,31.53227615,532.9799805,45.89551544,
534.0200195,7.426935673,534.0200195,18.45999908,534.0200195,86.24299622,534.0200195,172.4950256,534.0200195,326.7280884,534.0200195,404.7685242,534.0200195,447.6708679,534.0200195,217.0193176,534.0200195,241.440094,534.0200195,132.2741547,534.0200195,29.07486725,534.0200195,33.79624939,534.0200195,48.59078598,
535.0700073,8.209945679,535.0700073,20.74183273,535.0700073,95.17196655,535.0700073,189.4324188,535.0700073,358.290802,535.0700073,445.691864,535.0700073,495.6269836,535.0700073,240.4574738,535.0700073,266.6590881,535.0700073,144.6048126,535.0700073,32.54047775,535.0700073,37.15989304,535.0700073,54.21184921,
535.9699707,8.778790474,535.9699707,22.26088524,535.9699707,101.970871,535.9699707,204.3164673,535.9699707,388.7680054,535.9699707,480.9682312,535.9699707,535.6397705,535.9699707,258.7084656,535.9699707,290.2958069,535.9699707,155.5559692,535.9699707,34.53479767,535.9699707,40.08120346,535.9699707,57.61065674,
537.0100098,9.579973221,537.0100098,24.06247902,537.0100098,112.1789322,537.0100098,222.5861511,537.0100098,421.0890198,537.0100098,524.0767822,537.0100098,586.4813232,537.0100098,285.7057495,537.0100098,317.4233093,537.0100098,172.9659271,537.0100098,37.6680069,537.0100098,44.24966431,537.0100098,62.89490128,
538.0499878,10.40503883,538.0499878,26.45217133,538.0499878,121.4306107,538.0499878,242.2281036,538.0499878,457.7356873,538.0499878,569.3300171,538.0499878,632.5499268,538.0499878,306.4680786,538.0499878,343.9589844,538.0499878,188.085495,538.0499878,41.21871185,538.0499878,47.55518723,538.0499878,68.24874878,
538.9500122,10.97845173,538.9500122,27.95871735,538.9500122,128.6450348,538.9500122,257.3080444,538.9500122,483.5897522,538.9500122,599.4077759,538.9500122,675.2371826,538.9500122,326.8815308,538.9500122,359.9676514,538.9500122,197.7901611,538.9500122,43.13002014,538.9500122,50.99590683,538.9500122,72.55491638,
540,11.73680687,540,29.60968208,540,136.6751251,540,272.9716187,540,515.6331787,540,649.9682617,540,711.6546021,540,345.9428101,540,389.8088074,540,210.6350555,540,46.40625381,540,53.68964767,540,77.04359436,
541.039978,12.53931618,541.039978,31.70108795,541.039978,145.4050903,541.039978,289.723053,541.039978,549.616272,541.039978,684.9758301,541.039978,750.0029907,541.039978,370.2606812,541.039978,412.8262024,541.039978,224.1977081,541.039978,49.56842422,541.039978,57.78215408,541.039978,81.80593109,
541.9400024,12.9048872,541.9400024,32.57368469,541.9400024,151.6687469,541.9400024,308.1662292,541.9400024,573.7404785,541.9400024,714.2348633,541.9400024,794.6379395,541.9400024,384.6793823,541.9400024,430.9553223,541.9400024,233.5733337,541.9400024,51.91557693,541.9400024,59.66592407,541.9400024,86.35447693,
542.9799805,13.65381432,542.9799805,34.24411392,542.9799805,159.0948181,542.9799805,318.0883484,542.9799805,598.7783203,542.9799805,736.2329102,542.9799805,838.5145264,542.9799805,403.8526611,542.9799805,449.8600464,542.9799805,245.4468689,542.9799805,54.18056488,542.9799805,63.22519302,542.9799805,88.6046524,
544.0200195,14.09269619,544.0200195,35.93115997,544.0200195,165.2969818,544.0200195,328.7385254,544.0200195,621.5802002,544.0200195,779.7197876,544.0200195,860.2438965,544.0200195,419.438324,544.0200195,470.0195618,544.0200195,255.1139526,544.0200195,56.40678406,544.0200195,66.09348297,544.0200195,92.82779694,
545.0700073,14.66107178,545.0700073,37.06136322,545.0700073,169.9466705,545.0700073,344.9794922,545.0700073,645.8529053,545.0700073,793.477417,545.0700073,879.4094849,545.0700073,429.6156006,545.0700073,482.7233582,545.0700073,264.0205994,545.0700073,58.06719208,545.0700073,67.21070862,545.0700073,95.99474335,
